"Year"	"BorX"	"BorY"	"Species"	"Cover"
"2015"	20	180	"maca"	1
"2015"	20	180	"drsp"	2
"2015"	20	180	"trer"	1
"2015"	20	180	"stro"	1
"2015"	20	180	"mire"	1
"2015"	20	200	"oxmo"	2
"2015"	20	200	"maca"	2
"2015"	20	200	"mire"	1
"2015"	20	200	"lylu"	4
"2015"	20	200	"clbo"	1
"2015"	20	200	"vial"	4
"2015"	20	200	"trer"	1
"2015"	20	200	"drsp"	3
"2015"	20	200	"stro"	1
"2015"	20	200	"stam"	1
"2015"	20	220	"drsp"	2
"2015"	20	220	"trer"	1
"2015"	20	220	"thpu"	1
"2015"	20	220	"stro"	1
"2015"	20	220	"lylu"	1
"2015"	20	220	"asac"	1
"2015"	20	220	"drph"	1
"2015"	20	220	"povi"	1
"2015"	20	220	"vial"	1
"2015"	20	240	"lylu"	3
"2015"	20	240	"vial"	3
"2015"	20	240	"drsp"	2
"2015"	20	240	"stro"	1
"2015"	20	240	"trun"	1
"2015"	20	240	"trer"	1
"2015"	20	240	"mevi"	1
"2015"	20	240	"oxmo"	1
"2015"	20	240	"arnu"	2
"2015"	20	240	"loca"	1
"2015"	180	220	"mara"	1
"2015"	20	240	"clbo"	1
"2015"	20	240	"popu"	1
"2015"	20	260	"stro"	2
"2015"	20	260	"vial"	3
"2015"	20	260	"lylu"	3
"2015"	20	260	"trer"	1
"2015"	20	260	"saca"	1
"2015"	20	260	"drsp"	1
"2015"	20	260	"artr"	1
"2015"	20	260	"violasp"	1
"2015"	20	280	"violasp"	1
"2015"	20	280	"urdi"	3
"2015"	100	240	"mara"	1
"2015"	20	280	"grass"	2
"2015"	20	280	"oxmo"	1
"2015"	20	280	"drsp"	2
"2015"	20	280	"lylu"	1
"2015"	20	280	"trer"	1
"2015"	20	280	"acru"	1
"2015"	20	280	"arnu"	2
"2015"	20	280	"stro"	2
"2015"	20	280	"artr"	1
"2015"	20	280	"stam"	1
"2015"	20	280	"galiumsp"	1
"2015"	20	280	"tico"	1
"2015"	20	300	"asac"	1
"2015"	0	260	"popu"	1
"2015"	20	300	"violasp"	1
"2015"	20	300	"drsp"	3
"2015"	20	300	"lylu"	2
"2015"	20	300	"trer"	1
"2015"	20	300	"artr"	1
"2015"	20	300	"stro"	2
"2015"	20	300	"clbo"	1
"2015"	20	300	"arnu"	2
"2015"	20	320	"stro"	2
"2015"	20	320	"lylu"	3
"2015"	20	320	"violasp"	1
"2015"	20	320	"drsp"	2
"2015"	20	320	"moun"	1
"2015"	20	320	"prtr"	1
"2015"	20	320	"mire"	1
"2015"	20	320	"asac"	1
"2015"	20	320	"trer"	1
"2015"	20	320	"vial"	4
"2015"	20	320	"grass"	1
"2015"	20	260	"popu"	2
"2015"	20	320	"vevi"	1
"2015"	20	320	"thpu"	1
"2015"	20	320	"tico"	1
"2015"	20	340	"vevi"	1
"2015"	20	340	"rupu"	1
"2015"	20	340	"drsp"	3
"2015"	20	340	"arnu"	1
"2015"	20	340	"vial"	3
"2015"	20	340	"sofl"	1
"2015"	20	340	"lylu"	1
"2015"	20	340	"stro"	1
"2015"	20	340	"clbo"	1
"2015"	20	340	"oxmo"	1
"2015"	20	340	"trer"	1
"2015"	20	340	"urdi"	2
"2015"	20	340	"asac"	1
"2015"	20	340	"violasp"	1
"2015"	20	340	"grass"	2
"2015"	20	360	"vial"	2
"2015"	20	360	"clbo"	1
"2015"	20	360	"maca"	1
"2015"	20	360	"drsp"	2
"2015"	20	360	"lylu"	1
"2015"	20	360	"trer"	1
"2015"	20	360	"soam"	1
"2015"	20	360	"arnu"	2
"2015"	20	360	"oxmo"	1
"2015"	20	360	"stro"	1
"2015"	20	380	"stro"	2
"2015"	20	380	"drsp"	3
"2015"	20	380	"vial"	3
"2015"	20	380	"oxmo"	1
"2015"	20	380	"clbo"	1
"2015"	20	380	"trer"	1
"2015"	20	380	"lylu"	2
